Kata Tidak Baku,Kata Baku
abjat,abjad
abrasi,aberasi
absorsi,absorpsi
adap,adab
adesi,adhesi
adi busana,adibusana
adi daya,adidaya
aditorium,auditorium
admin,administrator
adpokat,advokat
adzan,azan
afdol,afdal
agamis,agamais
ajeg,ajek
ajektif,adjektif
aktifitas,aktivitas
aktip,aktif
aktuil,aktual
alaram,alarm
almari,lemari
amandemen,amendemen
ambeyen,ambeien
ambulan,ambulans
amoniak,amonia
ampibi,amfibi
analisa,analisis
angus,hangus
antri,antre
aparatur,aparat
apotik,apotek
aquatik,akuatik
artifak,artefak
asik,asyik
astronot,astronout
atheis,ateis
atheisme,ateisme
atlit,atlet
atmosfir,atmosfer
azas,asas
baligh,balig
balsem,balsam
bandrol,banderol
bangker,bungker
baqa,baka
barzah,barzakh
batalyon,batalion
baterei,baterai
bathil,batil
bazaar,bazar
belangko,blangko
belender,blender
bemper,bumper
bengkoang,bengkuang
bensol,benzol
berankas,brankas
berfikir,berpikir
bertanggungjawab,bertanggung jawab
berterbangan,beterbangan
bhayangkara,bayangkara
bis,bus
bisep,biseps
bolpen,bolpoin
borax,boraks
bowling,boling
brandal,berandal
brantas,berantas
brengsek,berengsek
budget,bujet
cabe,cabai
cafetaria,kafetaria
cap cai,capcai
cape,capai
capek,capai
cathering,katering
cenderamata,cendera mata
cendikia,cendekia
cendikiawan,cendekiawan
cengkeh,cengkih
cengkram,cengkeram
cengkrama,cengkerama
centigram,sentigram
centimeter,sentimeter
central,sentral
chlor,klor
cicak,cecak
cidera,cedera
cinderamata,cendera mata
clash,kles
clien,klien
client,klien
club,klab
coklat,cokelat
da’i,dai
da’wah,dakwah
daptar,daftar
darma siswa,darmasiswa
darma wisata,darmawisata
dasbord,dasbor
dasyat,dahsyat
debet,debit
debitor,debitur
defiasi,deviasi
dekrit,dekret
deodorant,deodoran
depo,depot
deputy,deputi
design,desain
despenser,dispenser
destilasi,distilasi
detel,detail
deterjen,detergen
detil,detail
deviden,dividen
dharma,darma
dhuhur,zuhur
diagnosa,diagnosis
differensial,diferensial
dijit,digit
dollar,dolar
donator,donatur
dopping,doping
drem,dram / drum
dulu,dahulu
duren,durian
efektip,efektif
eksibisi,ekshibisi
eksim,eksem
eksponent,eksponen
eksport,ekspor
ekstrim,ekstrem
ekuifalen,ekuivalen
ekwivalen,ekuivalen
elektroda,elektrode
elip,elips
elit,elite
engine,enjin
ensiklopedi,ensiklopedia
ephos,epos
episod,episode
equivalen,ekuivalen
esei,esai
esen,esens
esense,esens
essai,esai
ethanol,etanol
explisit,eksplisit
export,ekspor
